Código Cliente,nome_cliente,transacoes,meses_ativos,produtos,volume_total,segmento_b2b,receita_liquida_total,lucro_reposicao_total,volume_medio,volume_std,ultima_compra,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,cv_volume,registros_totais,devolucoes,ajustes,inconsistencias,taxa_devolucao,taxa_ajuste,taxa_inconsistencia,recencia_dias,concentracao_familia,intensidade_desconto,frequencia_mensal_corrigida,cnpj_14,cnae_codigo,cnae_descricao,cnae_divisao,cnae_divisao_nome,estado_cliente,frete_por_m3
211,MILDO ALVES ADMINISTRACAO COMERCIO,15,12,7,1.24,TRANSPORTE DE CARGAS,15322.6,3140.81,0.08266666666666667,0.06551626479265246,2026-07-01,12356.935483870968,0.20497892002662732,1.25,0.792535461201441,15,0,0,0,0.0,0.0,0.0,50,0.8064516129032259,0.17731132173641162,1.1111111111111112,19059849000169,4930203,Transporte rodoviário de produtos perigosos,49,Transporte terrestre,Minas Gerais,555.9354838709678
213,GARAGE MICHELINE'S LTDA.,3,2,2,0.8,OUTROS,15965.6,3200.0,0.26666666666666666,0.11547005383792516,2026-08-01,19957.0,0.2004309264919577,1.5,0.43301270189221935,3,0,0,0,0.0,0.0,0.0,20,0.7500000000000001,0.14146944205052386,1.0,58312422000182,7711000,Locação de automóveis sem condutor,77,Aluguel de máquinas e equipamentos,São Paulo,344.41249999999997
233,ARCOM S/A,15,6,9,4.16,COMÉRCIO,60783.53,5844.21,0.2773333333333333,0.19840314897654604,2026-02-01,14611.42548076923,0.09614792033302443,2.5,0.7153959698673535,15,0,0,0,0.0,0.0,0.0,212,0.2884615384615385,0.2976622334887045,1.0,25769266000124,4693100,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",46,Comércio por atacado,Minas Gerais,561.4591346153846
255,SERGIPE JET SERVICE COMERCIAL LTDA,4,2,2,0.3,COMÉRCIO,3811.42,584.96,0.075,0.0443471156521669,2023-11-01,12704.733333333334,0.15347560751635875,2.0,0.5912948753622254,4,0,0,0,0.0,0.0,0.0,1043,0.7333333333333334,0.2676557673593007,2.0,32740490000159,4731800,Comércio varejista de combustíveis para veículos automotores,47,Comércio varejista,Sergipe,882.5333333333333
570,CIPLAN CIMENTO PLANALTO SA,373,43,30,331.95,CONSTRUÇÃO E CIMENTO,3807220.68,557166.14,0.8899463806970509,0.805721474140683,2026-08-01,11469.259466787167,0.1463445875167919,8.674418604651162,0.9053595717863375,424,8,2,0,0.018867924528301886,0.0047169811320754715,0.0,4,0.43922277451423414,0.2795928103878226,4.5625,00057240000122,2320600,Fabricação de cimento,23,Produtos de minerais não-metálicos,Brasília,297.741979213737
571,CIPLAN CIMENTO PLANALTO SA,41,27,7,12.59,CONSTRUÇÃO E CIMENTO,138260.14,22924.42,0.3070731707317073,0.16056531229439042,2026-08-01,10981.742652899127,0.16580642837480128,1.5185185185185186,0.5228894204980149,43,0,0,0,0.0,0.0,0.0,35,0.5401111993645751,0.24951662838106406,1.5294117647058822,00057240000980,2330305,Preparação de massa de concreto e argamassa para construção,23,Produtos de minerais não-metálicos,Goiás,393.35424940428913
573,CIPLAN CIMENTO PLANALTO SA,47,29,10,22.03,CONSTRUÇÃO E CIMENTO,235765.16999999998,38461.04,0.46872340425531916,0.36913893355540267,2026-07-01,10702.004993191102,0.16313283255537706,1.6206896551724137,0.787541074766406,49,0,0,0,0.0,0.0,0.0,51,0.637312755333636,0.24901484513863514,1.5,00057240001102,2330305,Preparação de massa de concreto e argamassa para construção,23,Produtos de minerais não-metálicos,Brasília,299.1625056740808
574,CIPLAN CIMENTO PLANALTO SA,42,27,6,12.16,CONSTRUÇÃO E CIMENTO,127684.04000000001,18299.47,0.2895238095238095,0.14053820556758917,2026-07-01,10500.332236842105,0.14331838184318102,1.5555555555555556,0.48541156528279156,42,0,0,0,0.0,0.0,0.0,35,0.3618421052631579,0.2550181291297183,1.45,00057240001285,2330305,Preparação de massa de concreto e argamassa para construção,23,Produtos de minerais não-metálicos,Goiás,259.6809210526316
618,CARAMURU ALIMENTOS  S/A,7,7,1,17.599999999999998,USINA,171324.81,27147.43,2.514285714285714,2.457253596618639,2025-11-01,9734.364204545456,0.15845591773894277,1.0,0.9773167713824135,8,1,0,0,0.125,0.0,0.0,0,1.0,0.5307497976409314,1.1923076923076923,00080671000100,1042200,"Fabricação de óleos vegetais refinados, exceto óleo de milho",10,Fabricação de produtos alimentícios,Goiás,568.0460227272729
674,CIBRAFERTIL COMPANHIA BRASILEIRA DE,129,42,11,47.95,QUÍMICA,716465.71,145721.87,0.37170542635658915,0.25366416045324497,2026-08-01,14941.933472367047,0.20338987332694541,3.0714285714285716,0.6824332992381356,137,3,2,2,0.021897810218978103,0.014598540145985401,0.014598540145985401,21,0.7324296141814389,0.2090200958326526,2.6451612903225805,00117842000128,2013402,"Fabricação de adubos e fertilizantes, exceto organo-minerais",20,Fabricação de produtos químicos,Bahia,541.6671532846715
682,COLON EQUIPAMENTOS RODOVIARIOS S.A,37,25,6,22.4,MONTADORAS,352623.8,148089.34,0.6054054054054053,0.413861185762909,2026-08-01,15742.13392857143,0.41996410905900283,1.48,0.6836099943405194,37,0,0,0,0.0,0.0,0.0,33,0.9910714285714286,0.0635898572839476,1.1764705882352942,00122241000103,2930101,"Fabricação de cabines, carrocerias e reboques para caminhões",29,"Veículos automotores, reboques e carrocerias",Piauí,551.5205357142858
746,TRANSMASUT TRANSPORTES LTDA,133,44,10,60.38,TRANSPORTE DE CARGAS,791262.08,106061.5,0.45398496240601505,0.3935482332489497,2026-08-01,13104.704869161973,0.13404092358375116,3.022727272727273,0.8668750417706246,135,0,2,0,0.0,0.014814814814814815,0.0,5,0.4607485922490891,0.2405797775162559,4.181818181818182,00181221000103,4930203,Transporte rodoviário de produtos perigosos,49,Transporte terrestre,Goiás,406.6366346472342
924,TRANSPORTADORA PLANALTO LTDA,2,1,2,0.32,TRANSPORTE DE CARGAS,4572.05,705.04,0.16,0.05656854249492382,2023-04-01,14287.65625,0.15420653754880195,2.0,0.35355339059327384,2,0,0,0,0.0,0.0,0.0,1257,0.625,0.3770587907787134,2.0,00308668000109,4930203,Transporte rodoviário de produtos perigosos,49,Transporte terrestre,Rondônia,912.46875
1006,CENTRAIS ELETRICAS DO NORTE DO BRAS,1,1,1,4.0,OUTROS,45736.47,5772.0,4.0,,2026-02-01,11434.1175,0.1262012568963018,1.0,,1,0,0,0,0.0,0.0,0.0,211,1.0,0.20538729143572723,1.0,00357038003999,3512300,Transmissão de energia elétrica,35,"Eletricidade, gás e outras utilidades",Rondônia,990.2525
1007,CENTRAIS ELETRICAS DO NORTE DO BRAS,1,1,1,0.06,OUTROS,770.92,228.03,0.06,,2025-09-01,12848.666666666666,0.2957894463757588,1.0,,1,0,0,0,0.0,0.0,0.0,345,1.0,0.014336315148625298,1.0,00357038004375,3512300,Transmissão de energia elétrica,35,"Eletricidade, gás e outras utilidades",Pará,293.8333333333333
