Data Venda,Código Cliente,Nome Cliente,Código Material,Material,Volume,.Receita Bruta,Receita líquida,CPV Rep,CPV Fechamento,LB Reposição,LB Contábil,Frete,encargos,desconto,tipo_movimento_eda
2023-06-01,55930,EXPRESSO VERA CRUZ LTDA,1014421,LUBRAX GOLD XP 75W80 - BL 20 L,0.04,1165.88,-811.28,738.8,763.9,99.98,-1575.18,13.14,-1663.2,1152.9,SINAL_INCONSISTENTE
2023-06-01,1080973,AMBIPAR ENVIRONMENTAL NORDESTE LTDA,1001981,LUBRAX FLUIDO P/ FREIOS ESP - CX40F1/2L,0.02,624.22,-20.78,433.48,469.98,5.92,-490.76,6.95,-467.13,260.71,SINAL_INCONSISTENTE
2023-07-01,10727,CFL CONSTRUTORA FERREIRA LIMA LTDA,1011554,LUBRAX TECNO 15W40 - CX24F1L,0.05,1045.66,-3317.88,455.5,425.28,286.64,-3743.16,22.85,-4082.87,185.54,SINAL_INCONSISTENTE
2023-07-01,21628,TANAC SA,1001114,LUBRAX GEAR 460 - BL 20 L,0.02,341.22,-1947.26,206.49,249.72,36.0,-2196.98,10.19,-2199.94,204.62,SINAL_INCONSISTENTE
2023-08-01,1127284,CESCONETTO INDUSTRIA E COMERCIO DE,1007537,LUBRAX AVANTE 10W40 - BB20L,0.06,1731.9,-262.55,1043.79,1188.12,136.65,-1450.67,71.17,-1514.16,649.65,SINAL_INCONSISTENTE
2023-08-01,674,CIBRAFERTIL COMPANHIA BRASILEIRA DE,1000670,LUBRAX LITH EP 2 - BL 20 K,0.04,1063.5,-587.03,652.02,658.84,75.19,-1245.87,41.34,-1355.58,309.69,SINAL_INCONSISTENTE
2023-08-01,1023984,PELICANO CONSTRUCOES S.A.,1002282,LUBRAX HYDRA XP 68 - TB 200 L,0.2,3093.31,-242.53,1680.83,1888.45,440.0,-2130.98,87.02,-2450.38,1208.26,SINAL_INCONSISTENTE
2023-08-01,1023984,PELICANO CONSTRUCOES S.A.,1002396,LUBRAX TOP TURBO - TB200L,0.2,3611.63,-3113.54,2050.78,2032.05,440.0,-5145.59,87.02,-5691.34,911.9,SINAL_INCONSISTENTE
2023-08-01,1004023,TRANSPORTADORA TURISTICA SUZANO LTD,1000743,LUBRAX LITHPLUS EP 2 - BL 20 K,0.02,646.95,-467.52,387.23,424.85,57.4,-892.37,15.39,-927.54,247.6,SINAL_INCONSISTENTE
2023-09-01,108052,CORPVS - CORPO DE VIGILANTES PARTIC,1024151,LUBRAX MOTO 4T 20W50 - CXC24F1L,-0.12,1050.53,722.72,-1185.73,-1276.55,1993.95,1999.27,-39.66,-45.84,-2816.32,SINAL_INCONSISTENTE
2023-09-01,1108300,LINUX TRANSPORTES LTDA,1002396,LUBRAX TOP TURBO - TB200L,0.2,3953.39,-292.54,2068.14,1981.26,654.0,-2273.8,148.02,-3162.7,680.53,SINAL_INCONSISTENTE
2023-10-01,1127832,YARA BRASIL FERTILIZANTES S/A,1021469,LUBRAX TURBINA X 68 - TB 200L,0.4,7811.14,-33555.5,3359.48,3477.84,1848.74,-37033.34,295.04,-39058.76,1634.08,SINAL_INCONSISTENTE
2023-11-01,131357,CENTRAIS CONSTRUCOES PESADAS S/A,1023271,LUBRAX HYDRA 68 - BB20L,0.16,2126.18,-320.86,1284.0,1281.28,226.71,-1602.14,44.79,-1876.36,797.93,SINAL_INCONSISTENTE
2023-11-01,135983,ALPEK POLYESTER PERNAMBUCO S.A.,1011444,LUBRAX POLYTEC 2 - BL 10 KG,0.01,521.2,-577.41,368.24,450.8,8.3,-1028.21,4.3,-958.25,251.34,SINAL_INCONSISTENTE
2023-11-01,674,CIBRAFERTIL COMPANHIA BRASILEIRA DE,1001109,LUBRAX GEAR 320 - BL 20 L,0.04,669.68,-2052.51,498.18,412.48,-42.44,-2464.99,28.23,-2536.48,414.8,SINAL_INCONSISTENTE
2023-11-01,147151,AUTO VIACAO URUBUPUNGA LTDA,1001981,LUBRAX FLUIDO P/ FREIOS ESP - CX40F1/2L,0.04,1297.36,-540.56,856.94,926.08,53.26,-1466.64,25.4,-1476.16,488.14,SINAL_INCONSISTENTE
2023-11-01,147151,AUTO VIACAO URUBUPUNGA LTDA,1019412,LUBRAX TRM 5 PLUS 80W90 - TB 200 L,0.4,8287.74,-2783.43,5258.64,1969.54,556.48,-4752.97,248.14,-8846.69,4255.32,SINAL_INCONSISTENTE
2023-11-01,189992,EMPRESA DE ONIBUS PASSARO MARRON S/,1009240,LUBRAX FLUIDO P/ RADIADORES - BL20L,0.12,1909.02,-185.51,1247.58,1361.04,36.36,-1546.55,91.09,-1560.54,965.94,SINAL_INCONSISTENTE
2023-12-01,1713815,CAMPO ALEGRE MADEIRAS LTDA,1001992,LUBRAX GL 5 90 - BL 20 L,0.04,617.46,-96.13,384.58,389.68,16.0,-485.81,42.44,-539.15,1176.39,SINAL_INCONSISTENTE
2023-12-01,1156104,EMPRESA BRASILEIRA DE SERVICOS E PE,1000623,LUBRAX AUTOLITH 2 - BL 20 K,0.07,1471.29,-57.01,950.76,952.89,103.5,-1009.9,0.0,-1111.27,594.06,SINAL_INCONSISTENTE
2023-12-01,1000444,LARGO VANADIO DE MARACAS S.A,1002282,LUBRAX HYDRA XP 68 - TB 200 L,0.6,8578.98,-213.89,5006.61,5028.78,1129.45,-5242.67,0.0,-6349.95,4165.91,SINAL_INCONSISTENTE
2023-12-01,1113822,ELUX S.S. EXPRESSO LUXO SAO PAULO S,1009240,LUBRAX FLUIDO P/ RADIADORES - BL20L,0.04,0.05,-365.91,426.72,453.2,-441.19,-819.11,14.5,-365.94,764.43,SINAL_INCONSISTENTE
2024-01-01,62602,VIACAO UNIAO LTDA,1001976,LUBRAX FLUIDO P/ RADIADORES - TB 200 L,0.2,2209.72,-1590.89,1852.74,2150.0,-377.22,-3740.89,49.85,-3116.26,1037.76,SINAL_INCONSISTENTE
2024-01-01,1080973,AMBIPAR ENVIRONMENTAL NORDESTE LTDA,1001981,LUBRAX FLUIDO P/ FREIOS ESP - CX40F1/2L,0.02,663.09,-108.7,418.49,460.86,32.0,-569.56,24.09,-583.28,257.87,SINAL_INCONSISTENTE
2024-01-01,15293,MIRACEMA NUODEX INDUSTRIA QUIMICA L,1001135,LUBRAX UTILE CIV 680  - TB 200 L,1.6,25917.64,-1595.49,14194.0,21815.68,3797.04,-23411.17,963.39,-20549.92,3581.28,SINAL_INCONSISTENTE
2024-02-01,14509,MINERACAO CARAIBA S/A,1002289,LUBRAX HYDRA XP 100  - TB 200 L,6.4,8.64,-46279.08,48427.76,56685.76,-56492.53,-102964.84,6513.32,-44727.63,81869.25,SINAL_INCONSISTENTE
2024-02-01,8549,SAO JUDAS TADEU TRANSPORTES LTDA,1024970,LUBRAX TOP TURBO PRO SS 15W40 - TB200L,0.2,3860.55,-380.41,2049.63,2104.84,588.74,-2485.25,76.66,-3095.44,899.81,SINAL_INCONSISTENTE
2024-02-01,17912,NUNES TRANSPORTES LTDA,1002396,LUBRAX TOP TURBO - TB200L,0.2,3268.43,-3450.98,1675.18,1769.25,591.91,-5220.23,124.07,-5842.14,115.71,SINAL_INCONSISTENTE
2024-02-01,52924,WEILLER CONSTRUCAO CIVIL LTDA,1002151,LUBRAX COMPSOR AC 46 - BL 20 L,0.02,283.98,-546.43,144.08,164.45,50.0,-710.88,11.09,-751.6,60.26,SINAL_INCONSISTENTE
2024-03-01,90774,MAXIMA LOGISTICA LTDA,1002395,LUBRAX TOP TURBO - BB20L,0.08,1151.96,-27.64,710.96,744.84,120.27,-772.48,0.0,-858.87,207.81,SINAL_INCONSISTENTE
2024-03-01,137950,PECEM II GERACAO DE ENERGIA S. A.,1003828,LUBRAX TURBINA EP 32 - TB 200 L,0.6,11238.3,-831.38,4252.98,5774.4,3395.73,-6605.78,290.19,-8770.28,2092.26,SINAL_INCONSISTENTE
2024-03-01,1736318,PEDREIRA TOPBRITAS LTDA,1002395,LUBRAX TOP TURBO - BB20L,0.02,61.72,-2017.67,186.16,182.19,-161.28,-2199.86,17.97,-2060.52,229.35,SINAL_INCONSISTENTE
2024-03-01,95142,PROQUIGEL QUIMICA S/A,1002281,LUBRAX HYDRA XP 68 - BL  20 L,0.36,-126.2,-2956.53,2487.96,2715.12,-2831.32,-5671.65,254.04,-2867.21,4465.0,SINAL_INCONSISTENTE
2024-03-01,52981,NELCAR TRANSPORTES RODOVIARIOS LTDA,1002282,LUBRAX HYDRA XP 68 - TB 200 L,0.4,5708.0,-889.57,2640.86,2941.38,1244.02,-3830.95,248.14,-5022.59,390.62,SINAL_INCONSISTENTE
2024-04-01,1127284,CESCONETTO INDUSTRIA E COMERCIO DE,1011311,LUBRAX FLUIDO P/ RADIADORES - CXC12F1L,0.01,-2.54,-222.78,133.36,139.99,-155.95,-362.77,20.8,-220.99,206.85,SINAL_INCONSISTENTE
2026-01-01,14509,MINERACAO CARAIBA S/A,1000670,LUBRAX LITH EP 2 - BL 20 K,-0.33,2680.2,1933.67,-4525.65,-4363.65,6534.35,6297.32,-224.05,149.02,-8560.7,SINAL_INCONSISTENTE
2026-06-01,1593241,BWA TRANSPORTES ESPECIALIZADOS LTDA,1026751,LUBRAX TOP TURBO 15W40 CI4 228.3 70k-20L,-0.02,507.5,359.21,201.42,-198.04,175.76,557.25,-4.46,-13.51,94.29,SINAL_INCONSISTENTE
2026-06-01,12294,TRANSPORTADORA FROSSARD LTDA,1026751,LUBRAX TOP TURBO 15W40 CI4 228.3 70k-20L,-0.04,1682.76,1191.14,600.68,-396.08,581.3,1587.22,-12.63,21.79,-1992.14,SINAL_INCONSISTENTE
