regra,avaliados,conciliados,divergentes,divergentes_pct,diferenca_abs_max,diferenca_liquida
volume_duplicado,253624,253624,0,0.0,0.0,0.0
receita_liquida_duplicada,253624,253624,0,0.0,0.0,0.0
cpv_reposicao_sinal,253624,253624,0,0.0,0.0,0.0
lb_reposicao_duplicado,253624,253624,0,0.0,0.0,0.0
frete_duplicado,253624,253624,0,0.0,0.0,0.0
encargos_duplicado,253624,253624,0,0.0,0.0,0.0
receita_liquida_formula,253624,253624,0,0.0,4.656612873077393e-10,-1.5186113217630082e-09
receita_sem_frete_encargos,253624,253624,0,0.0,4.656612873077393e-10,-9.28493953597509e-10
lb_contabil_formula,253624,253624,0,0.0,2.9831426218152046e-10,-6.813120467102918e-10
lb_reposicao_formula,253624,253624,0,0.0,3.7834979593753815e-10,1.893349362708241e-09
efeito_estoque_formula,253624,253624,0,0.0,4.0745362639427185e-10,-1.4975721253362995e-09
lb_rep_efeito_estoque,253624,253624,0,0.0,1.1641532182693481e-10,4.622986715663302e-11
lb_rep_efeito_encargos,253624,253624,0,0.0,5.820766091346741e-11,2.898821269831098e-10
