Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
1003,CENTRAIS ELETRICAS DO NORTE DO BRAS,5.0,10529.86,0.038419314216903165,1.0,0.0,1,0
924,TRANSPORTADORA PLANALTO LTDA,0.32,14287.65625,0.15420653754880195,2.0,0.0,2,0
618,CARAMURU ALIMENTOS  S/A,17.599999999999998,9734.364204545456,0.15845591773894277,1.0,0.125,1,0
1905514,BRAULIO DE SOUSA MAIA LAMOUNIER,9.62,13601.573804573805,0.07352090385773812,1.0,0.0,1,0
1905324,ELETRO KVA LTDA,0.4,14171.749999999998,0.22652107185068887,1.0,0.0,1,0
2345,EXPRESSO MARLY LTDA,4.26,11441.87323943662,0.11074756710689959,2.142857142857143,0.0,8,0
2252,BRAVO SERVICOS LOGISTICOS LTDA,1.6600000000000001,11824.656626506023,0.050228922310080075,1.75,0.0,4,0
2228,REALSI SERVICOS E TRANSPORTES LITOR,8.88,12217.459459459458,0.13954673123236722,1.8,0.0,10,0
1836,KARINA PISOS E REVESTIMENTOS CERAMI,2.0100000000000002,12939.587064676616,0.22992805832846636,3.4166666666666665,0.0,12,0
1823,CAENGE S.A - CONSTRUCAO ADMINISTRAC,7.04,11407.285511363636,0.16576452772842915,4.277777777777778,0.0,15,0
1775,GW CONSTRUCOES E INCORPORACOES LTDA,5.720000000000001,11706.05769230769,0.14316133912496742,2.2,0.0,9,0
1711,CONSTRUTORA ENGETRAN LTDA,3.41,10065.782991202346,0.27699397977876916,1.3333333333333333,0.0,4,0
574,CIPLAN CIMENTO PLANALTO SA,12.16,10500.332236842105,0.14331838184318102,1.5555555555555556,0.0,6,0
1661767,REFRAMAQUINAS SERVICOS EM REFRATARI,7.970000000000001,11326.41279799247,0.21331525306267726,2.5294117647058822,0.0,8,0
1661601,BRAVO ARMAZENS GERAIS LTDA,0.76,10703.092105263157,0.23139402656635136,1.4,0.0,3,0
1661597,SB GELO PURO E CRISTALINO EIRELI,2.66,12223.338345864662,0.24005477011805346,1.0,0.0,2,0
3091,FERROVIA TEREZA CRISTINA S.A.,2.27,13196.224669603524,0.12536458331594638,1.3,0.0,6,0
3077,BIOTEXTIL INDUSTRIA E COMERCIO LTDA,0.28,14579.642857142857,0.13718247066604608,2.0,0.0,2,0
3056,BRASAL REFRIGERANTES S/A,3.62,12104.591160220994,0.2793365012407967,1.0666666666666667,0.0,2,0
3026,CONSIGAZ-DISTRIBUIDORA DE GAS LTDA,2.6,11564.057692307693,0.1382666118992701,1.3333333333333333,0.0,3,0
3025,CONSIGAZ-DISTRIBUIDORA DE GAS LTDA,1.7999999999999998,12510.011111111113,0.1569991500140776,1.25,0.0,3,0
3016,CENTRO OESTE ASFALTOS S/A,1.4,10334.964285714286,0.2096033229778249,1.0,0.0,1,0
3015,CENTRO OESTE ASFALTOS S/A,11.6,10014.875862068966,0.16232378799262062,1.0,0.0,1,0
2852,VIACAO REGIONAL S/A,5.0600000000000005,14690.557312252964,0.2711850612006153,1.7,0.02857142857142857,6,0
2627,MINERADORA PEDRIX LTDA,12.280000000000001,12564.815146579804,0.22006128094240723,1.9565217391304348,0.0,16,0
1900048,LAMINADOS MG LTDA,0.2,14610.499999999998,0.06844734950891482,1.0,0.0,1,0
1905856,JAURU TRANSMISSORA DE ENERGIA S A,0.8,13500.45,0.17777185204937612,1.0,0.0,1,0
571,CIPLAN CIMENTO PLANALTO SA,12.59,10981.742652899127,0.16580642837480128,1.5185185185185186,0.0,7,0
255,SERGIPE JET SERVICE COMERCIAL LTDA,0.3,12704.733333333334,0.15347560751635875,2.0,0.0,2,0
233,ARCOM S/A,4.16,14611.42548076923,0.09614792033302443,2.5,0.0,9,0
1914915,SOLUCAO AMBIENTAL E SERVICOS LTDA,0.4,10971.624999999998,0.23222631105237374,1.0,0.0,1,0
1006,CENTRAIS ELETRICAS DO NORTE DO BRAS,4.0,11434.1175,0.1262012568963018,1.0,0.0,1,0
1895982,MINAS INDUSTRIA DE GORDURAS E PROTE,1.0,12751.61,-0.004215154008003695,1.0,0.0,1,0
1895711,A.F.H. COMERCIO E SERVICOS TECNICOS,2.28,14088.464912280704,0.1655672022340038,1.6666666666666667,0.0,4,0
1895578,TECNOGEO FUNDACOES LTDA.,4.8,12006.402083333332,0.11773649231928869,3.0,0.0,3,0
1895393,BLT AGRO EMPREENDIMENTOS LTDA,0.22,12927.318181818182,0.15471112970770143,2.0,0.3333333333333333,2,0
1895191,CARCON LOGISTICS LTDA,1.26,15232.309523809523,0.15782346526363394,3.0,0.0,8,0
1894730,MARCIA JANICLEIDE SANTOS ROLIM,0.2,13416.949999999999,0.13415865751903377,1.0,0.0,1,0
4460,CARBOBRAS - CARBONOS BRASILEIROS LT,6.78,14827.421828908553,0.1497416888424859,5.0,0.0,13,0
4459,T V V - TERMINAL DE VILA VELHA S.A,2.8000000000000003,11258.949999999999,0.19771381878416727,1.0,0.16666666666666666,2,0
