cluster,familia_final,clientes_unicos,volume_total,receita_liquida_total,lucro_reposicao_total,preco_ponderado,margem_pct_ponderada
0,FLUIDO PARA RADIADOR,459,257.31,3490210.99,471316.47,13564.225991994093,13.503953524597662
0,GEAR,657,674.71,8758280.67,1752411.84,12980.807561767277,20.008628474337307
0,GL 5,1594,836.6,10714147.64,1687506.61,12806.774611522831,15.750264665944066
0,HYDRA,937,921.46,9340640.99,1736195.22,10136.784005816855,18.587538284136535
0,HYDRA XP,1541,1900.8,20330345.91,4040531.44,10695.678614267677,19.87438609203674
0,TOP TURBO,2892,5502.2300000000005,63656535.77,9757129.28,11569.224799763006,15.327772964670707
0,TOP TURBO PRO,738,686.7,9370699.04,1278453.99,13645.986660841705,13.643101592984252
0,TRM 5,881,424.45,6017179.49,868078.74,14176.415337495584,14.426671855853183
0,UNITRACTOR,613,353.84000000000003,4594382.74,743570.41,12984.35094958173,16.184337528657874
0,UTILE,405,543.94,6369755.62,1262536.59,11710.40118395411,19.820801068660153
1,FLUIDO PARA RADIADOR,94,598.38,7885742.15,918878.25,13178.485494167586,11.65240040216126
1,GEAR,130,1184.2,15843192.8,3238706.09,13378.8150650228,20.442256373980374
1,GL 5,174,961.74,12116066.08,1801104.12,12598.068168111964,14.865420080310424
1,HYDRA,110,1214.36,12276077.74,2136358.33,10109.092641391351,17.40261323890899
1,HYDRA XP,189,2810.13,29424009.14,5928396.59,10470.693220598336,20.148160509985484
1,TOP TURBO,230,6889.48,75028670.98,10155251.34,10890.324230566024,13.535160902299644
1,TOP TURBO PRO,125,1217.48,16244807.7,2205447.34,13342.977050957716,13.57632162060004
1,TRM 5,149,728.97,10162276.27,1595427.21,13940.596005322577,15.699506366598712
1,UNITRACTOR,105,298.96,3910841.07,626096.62,13081.486051645705,16.009257568730607
1,UTILE,90,441.78000000000003,5449029.42,965742.72,12334.260084204807,17.723206199903395
2,FLUIDO PARA RADIADOR,97,62.84,1030847.77,182966.29,16404.324793125397,17.74910858079462
2,GEAR,146,152.3,2532817.7600000002,494919.04,16630.451477347342,19.54025464508745
2,GL 5,288,147.70000000000002,2463140.4,357711.95,16676.64454976303,14.522596844256219
2,HYDRA,101,82.1,1157620.6,202637.38,14100.12911084044,17.50464530434237
2,HYDRA XP,224,145.37,2051987.41,421382.78,14115.618146797826,20.53534919105571
2,TOP TURBO,407,444.37,6527327.77,1066036.55,14688.94788127011,16.3318985588493
2,TOP TURBO PRO,235,273.68,4635022.64,658289.89,16935.920198772288,14.202517250271729
2,TRM 5,161,92.49000000000001,1487358.98,191533.66,16081.295058925287,12.877433260933415
2,UNITRACTOR,99,39.32,629852.15,95902.21,16018.62029501526,15.226146326562512
2,UTILE,56,62.24,1123846.74,112622.72,18056.66356041131,10.021181357878033
3,FLUIDO PARA RADIADOR,369,589.63,8124252.74,1022097.74,13778.560690602582,12.580821556272756
3,GEAR,391,1323.98,17390031.86,3412839.06,13134.663559872504,19.62526053704424
3,GL 5,769,1533.54,20176851.23,3359526.17,13157.042679030219,16.65039867571051
3,HYDRA,432,1382.08,14153007.53,2585271.93,10240.367800706183,18.266590507494772
3,HYDRA XP,727,3625.0,39465174.16,8513733.01,10886.944595862067,21.572774455482097
3,TOP TURBO,1002,9720.41,112062415.86,17177224.57,11528.568842260769,15.328265447587327
3,TOP TURBO PRO,495,1622.55,22020170.08,3192551.14,13571.335293211303,14.498303729723055
3,TRM 5,606,1062.2,15180804.2,2333604.83,14291.851063829787,15.37207646746409
3,UNITRACTOR,401,683.74,9183015.02,1522736.51,13430.565741363675,16.582097564727714
3,UTILE,241,616.82,7647829.55,1476753.59,12398.80281119289,19.309446952828598
