Código Cliente,nome_cliente,cnae_descricao,estado_cliente,cluster,familia_principal,frequencia_mensal,nivel_frequencia,margem_pct_ponderada,nivel_margem,frete_por_m3,receita_liquida_total
1914210,CENTRAL FISH COMERCIO DE PESCADOS L,"Preservação de peixes, crustáceos e moluscos",Pará,0,COMPSOR RF,1.0,Ocasionais,0.2274812517535013,Alta,329.65000000000003,2637.58
1912219,M.G. CINDIO MANUTENCAO DE BOMBAS LT,Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças,São Paulo,0,HYDRA XP,1.0,Ocasionais,0.0593945170699398,Baixa,519.7857142857143,9421.24
1481,COMANDO DA MARINHA,Defesa,Ceará,0,MARBRAX CCD,1.0,Ocasionais,0.1778956228004513,Média,385.8545454545454,30071.51
1469,COMANDO DA MARINHA,Defesa,Rio de Janeiro,0,EXTRA TURBO,2.888888888888889,Regulares,0.2286682165827946,Alta,302.0989583333333,24465.84
1439,COMANDO DO EXERCITO,Defesa,Amazonas,0,EXTRA TURBO,1.0,Ocasionais,0.0523751737654109,Baixa,232.66049382716045,17552.4
1007,CENTRAIS ELETRICAS DO NORTE DO BRAS,Transmissão de energia elétrica,Pará,0,EXTRA TURBO,1.0,Ocasionais,0.2957894463757588,Alta,293.8333333333333,770.92
1006,CENTRAIS ELETRICAS DO NORTE DO BRAS,Transmissão de energia elétrica,Rondônia,0,TURBINA X,1.0,Ocasionais,0.1262012568963018,Baixa,990.2525,45736.47
924,TRANSPORTADORA PLANALTO LTDA,Transporte rodoviário de produtos perigosos,Rondônia,0,TOP TURBO,2.0,Regulares,0.1542065375488019,Média,912.46875,4572.05
618,CARAMURU ALIMENTOS  S/A,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Goiás,0,TURBINA EP,1.1923076923076923,Ocasionais,0.1584559177389427,Média,568.0460227272729,171324.81
574,CIPLAN CIMENTO PLANALTO SA,Preparação de massa de concreto e argamassa para construção,Goiás,0,HYDRA,1.45,Ocasionais,0.143318381843181,Média,259.6809210526316,127684.04
1647969,CRISTINA EXT. E COM. DE AR. E PEDRA,Comércio atacadista especializado de materiais de construção não especificados anteriormente,São Paulo,0,LITH EP,1.0,Ocasionais,0.1159710788173813,Baixa,629.0526315789473,2933.49
1647550,ACO VERDE DO BRASIL S/A,Produção de carvão vegetal - florestas plantadas,Maranhão,0,HYDRA XP,2.0,Regulares,0.0872310651575163,Baixa,582.5,2022.33
1647213,VILASA CONSTRUTORA S/A.,Construção de rodovias e ferrovias,Minas Gerais,0,HYDRA,3.3333333333333335,Regulares,0.1125472606095716,Baixa,491.5880281690141,31450.61
1647116,ZB - TRANSPORTES E LOGISTICA LTDA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Bahia,0,GL 5,1.6923076923076923,Regulares,0.1778445442524187,Média,456.6231884057972,53972.53
1647111,D'GRANEL TRANSPORTES E COMERCIO LTD,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Minas Gerais,0,TOP TURBO PRO,1.8571428571428572,Regulares,0.1492546622255557,Média,28.35489361702128,167390.55
1647020,EXPRESSO NEPOMUCENO S/A,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",Bahia,0,HYDRA XP,1.1428571428571428,Ocasionais,0.0828790307737265,Baixa,1090.3350253807107,44931.51
1900048,LAMINADOS MG LTDA,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",Santa Catarina,0,HYDRA,1.0,Ocasionais,0.0684473495089148,Baixa,640.0,2922.1
1898410,CONSTRUTORA CATHIO LTDA,Construção de obras de arte especiais,Paraná,0,TOP TURBO,1.0,Ocasionais,0.0915835962618786,Baixa,662.2499999999999,5327.81
1905514,BRAULIO DE SOUSA MAIA LAMOUNIER,,Minas Gerais,0,TOP TURBO,1.0,Ocasionais,0.0735209038577381,Baixa,0.0,130847.14
2345,EXPRESSO MARLY LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Goiás,0,TOP TURBO,1.1666666666666667,Ocasionais,0.1107475671068995,Baixa,236.94600938967136,48742.38
2252,BRAVO SERVICOS LOGISTICOS LTDA,Transporte rodoviário de produtos perigosos,Minas Gerais,0,GL 5,1.0,Ocasionais,0.05022892231008,Baixa,524.8855421686746,19628.93
2228,REALSI SERVICOS E TRANSPORTES LITOR,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",Bahia,0,TOP TURBO,1.5384615384615385,Regulares,0.1395467312323672,Média,1033.7421171171172,108491.04
2174,CASTELO CONSTRUCOES E ADMINISTRACAO,Construção de edifícios,Goiás,0,HYDRA,1.2307692307692308,Ocasionais,0.1981147224576196,Alta,384.8144853875476,92975.17
1836,KARINA PISOS E REVESTIMENTOS CERAMI,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",São Paulo,0,TOP TURBO,1.1111111111111112,Ocasionais,0.2299280583284663,Alta,346.9203980099502,26008.57
1823,CAENGE S.A - CONSTRUCAO ADMINISTRAC,Construção de edifícios,Brasília,0,TOP TURBO,1.0,Ocasionais,0.1657645277284291,Média,277.12784090909093,80307.29
1775,GW CONSTRUCOES E INCORPORACOES LTDA,Obras de terraplenagem,Brasília,0,TOP TURBO,1.0,Ocasionais,0.1431613391249674,Média,263.0926573426573,66958.65
1711,CONSTRUTORA ENGETRAN LTDA,Obras de terraplenagem,Minas Gerais,0,UTILE,1.0,Ocasionais,0.2769939797787691,Alta,77.22580645161291,34324.32
571,CIPLAN CIMENTO PLANALTO SA,Preparação de massa de concreto e argamassa para construção,Goiás,0,HYDRA,1.5294117647058822,Regulares,0.1658064283748012,Média,393.35424940428913,138260.14
255,SERGIPE JET SERVICE COMERCIAL LTDA,Comércio varejista de combustíveis para veículos automotores,Sergipe,0,EXTRA TURBO,2.0,Regulares,0.1534756075163587,Média,882.5333333333333,3811.42
233,ARCOM S/A,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",Minas Gerais,0,GL 5,1.0,Ocasionais,0.0961479203330244,Baixa,561.4591346153846,60783.53
1914915,SOLUCAO AMBIENTAL E SERVICOS LTDA,Serviços de engenharia,Rio de Janeiro,0,HYDRA,1.0,Ocasionais,0.2322263110523737,Alta,228.125,4388.65
211,MILDO ALVES ADMINISTRACAO COMERCIO,Transporte rodoviário de produtos perigosos,Minas Gerais,0,TOP TURBO,1.1111111111111112,Ocasionais,0.2049789200266273,Alta,555.9354838709678,15322.6
3704,CAVALO MARINHO COMBUSTIVEIS LTDA,Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),Bahia,0,TOP TURBO,1.0,Ocasionais,0.0431679678782784,Baixa,641.2137628111274,143035.92
3549,CONTRACTOR ENGENHARIA LTDA,Construção de rodovias e ferrovias,Espírito Santo,0,HYDRA XP,1.4444444444444444,Ocasionais,0.1691326642762221,Média,481.86401673640165,103724.08
3533,BRASTRAFO DO BRASIL LTDA,Testes e análises técnicas,São Paulo,0,HYDRA XP,1.0,Ocasionais,0.0747938321038957,Baixa,650.4333333333332,11493.06
3446,DJC BRAZIL LTDA,"Fabricação de impermeabilizantes, solventes e produtos afins",Santa Catarina,0,UTILE,1.0,Ocasionais,0.3335639701905047,Alta,491.12499999999994,31391.34
3302,VIACAO JAUA LTDA,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",Bahia,0,ATF TA,1.5,Ocasionais,0.0972394254391667,Baixa,717.6712328767122,8767.74
1892177,EDSON VINICIUS JORGE CRISTINO,Cultivo de soja,São Paulo,0,TOP TURBO,1.5,Ocasionais,0.1138451608495124,Baixa,0.0,117964.61
