cluster,familia_principal,clientes_unicos,volume_total,receita_liquida_total,lucro_reposicao_total,preco_ponderado,margem_pct_ponderada,frequencia_dominante,receita_pct,receita_pct_acumulado,segmento_rank
2,Outras,515,8276.98,123390195.71,18138123.33,14907.634875280597,14.69980919118521,Frequentes,13.199406571945854,13.199406571945854,1
4,Outras,1559,6715.82,101821763.74,15297839.93,15161.47897650622,15.024135674041899,Regulares,10.89216894213867,24.091575514084525,2
2,TOP TURBO,447,7417.22,83588219.82,12667316.53,11269.480994226946,15.154427929291916,Regulares,8.941673944844435,33.033249458928964,3
4,TOP TURBO,1401,6482.77,76182030.61,11806336.91,11751.462817591862,15.497535068919843,Regulares,8.14941243679639,41.18266189572535,4
1,Outras,128,4463.43,65690908.34,9314508.74,14717.584534763624,14.179296611017145,Frequentes,7.02714670538299,48.20980860110834,5
0,Outras,2911,3840.9300000000003,50757503.35,8264791.75,13214.899347293493,16.282896526666928,Ocasionais,5.429677126602183,53.63948572771052,6
1,TOP TURBO,109,4261.52,45862539.36,5748607.03,10762.0143423004,12.534428119812684,Frequentes,4.90604865282217,58.54553438053269,7
0,TOP TURBO,2205,3681.6,42383993.97,6412202.56,11512.384281290742,15.128830389459399,Ocasionais,4.533938578619113,63.07947295915181,8
2,HYDRA XP,341,2839.2200000000003,30316501.61,6320586.32,10677.757134001591,20.848666516043966,Regulares,3.243043973525448,66.32251693267726,9
3,Outras,791,1285.8700000000001,27200496.02,3857324.58,21153.3794396012,14.181081761022973,Ocasionais,2.9097158316402436,69.2322327643175,10
4,HYDRA XP,914,2208.56,24253856.21,5131550.9,10981.751100264426,21.15767016827713,Regulares,2.5945052377233466,71.82673800204086,11
1,HYDRA XP,92,1966.81,20784755.92,4306317.19,10567.749767389836,20.718632475526324,Frequentes,2.2234055332202094,74.05014353526107,12
2,TOP TURBO PRO,232,1151.88,15447424.78,2058934.14,13410.619838872102,13.328656195599226,Regulares,1.652455764313588,75.70259929957466,13
4,GL 5,1113,1093.18,14564121.5,2405375.98,13322.71126438464,16.515764304767714,Frequentes,1.5579662544139905,77.26056555398864,14
2,GL 5,340,1100.3700000000001,14127175.65,2214907.86,12838.568526950025,15.678348700930888,Frequentes,1.5112248914484154,78.77179044543706,15
1,GEAR,57,1092.34,14103792.45,2624651.15,12911.540774850322,18.609541790300526,Frequentes,1.5087235228268876,80.28051396826395,16
4,TOP TURBO PRO,571,1005.8000000000001,13977133.39,2052717.01,13896.533495724796,14.686251842374382,Regulares,1.4951744363752404,81.77568840463918,17
0,HYDRA XP,1132,1279.15,13574695.49,2652342.13,10612.278067466677,19.538870186472227,Ocasionais,1.452124488755864,83.22781289339505,18
2,GEAR,184,979.66,12761562.29,2515376.74,13026.521742237102,19.71057056212512,Regulares,1.3651412755257586,84.59295416892081,19
1,TOP TURBO PRO,55,854.51,11536657.02,1726670.96,13500.903465143767,14.966822338625787,Frequentes,1.2341096114797083,85.82706378040052,20
2,HYDRA,202,1147.96,11458826.55,1930457.56,9981.904029757136,16.846904450264148,Regulares,1.225783860707499,87.05284764110802,21
2,TRM 5,271,793.96,11163048.79,1694255.4,14059.963713537205,15.17735371288295,Regulares,1.1941436571506854,88.2469912982587,22
4,GEAR,427,841.57,11150574.99,2157611.72,13249.729660040162,19.349779916596034,Regulares,1.192809298640678,89.43980059689939,23
4,TRM 5,755,726.1,10617103.26,1689225.49,14622.09511086627,15.910417828977582,Regulares,1.1357422827534613,90.57554287965284,24
4,HYDRA,576,1020.02,10605475.85,1940271.94,10397.321474088743,18.295001256355697,Regulares,1.1344984650328913,91.71004134468573,25
0,AV,219,735.98,7805706.42,1553938.47,10605.867577923313,19.90772373937169,Ocasionais,0.8349990209998344,92.54504036568557,26
1,TRM 5,71,524.35,7144245.0,1025180.15,13624.95470582626,14.349733946694156,Regulares,0.7642405773163784,93.30928094300194,27
0,TOP TURBO PRO,514,527.97,7068837.05,945596.91,13388.709680474269,13.376979881011689,Ocasionais,0.7561739705241639,94.0654549135261,28
1,HYDRA,43,639.0,6863185.39,1332294.65,10740.509217527386,19.412190903967407,Frequentes,0.7341748168886891,94.79962973041478,29
1,GL 5,73,516.8100000000001,6559572.17,977524.18,12692.425011125944,14.902255126800442,,0.7016964314842574,95.50132616189903,30
