cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,situacao_cadastral,uf,municipio,cnae_fiscal_principal,cnae_principal_descricao,cnae_fiscal_secundaria
57485033000277,57485033,0002,77,2,02,PA,0473,0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado","0230600,0810099,2399199,4120400,4211102,4212000,4213800,4221901,4222701,4222702,4313400,7732201"
52060377000130,52060377,0001,30,1,02,PB,0446,4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,"3314711,3314712,3314716,3314717,4520001,4520002,4520003,4520004,4520007,4530704,4661300,4662100"
40261035003467,40261035,0034,67,2,02,ES,5625,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930204,5211799"
89317697004804,89317697,0048,04,2,02,RS,8943,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,5211701,5211799,5250803,5250804"
09082724000287,09082724,0002,87,2,02,SP,6875,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","3811400,4687702,4930201,4930203,7711000,7830200"
62267317000146,62267317,0001,46,1,02,AP,0603,9499500,Atividades associativas não especificadas anteriormente,"0311604,1099604,4633801,4681801,4681802,4722902,4724500,4729699,4789099,4930201,4930202,5021102,5212500,9411100"
07031916004579,07031916,0045,79,2,02,MG,5403,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",4930201
19368927006148,19368927,0061,48,2,02,GO,9301,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,5212500,5250804,7820500"
64957900000104,64957900,0001,04,1,02,SC,8027,4731800,Comércio varejista de combustíveis para veículos automotores,"4520001,4520005,4520007,4530703,4530705,4732600,4930202"
03302394000120,03302394,0001,20,1,02,SP,7131,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","0161001,0161003,2930101,4120400,4313400,4399199,7112000,7731400,7739099,8129000"
04945406000106,04945406,0001,06,1,02,SP,7107,4789099,Comércio varejista de outros produtos não especificados anteriormente,"3314705,4321500,7112000"
92587062000160,92587062,0001,60,1,02,RS,8683,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"0990403,4211101,7732201,4213800"
92769470000132,92769470,0001,32,1,02,RS,8801,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana","4110700,4921301,4921302,4924800,4929901,4929902,4929904,4930202,5091201,5091202,5240199,6810201"
03327988000196,03327988,0001,96,1,02,MS,9063,0723501,Extração de minério de manganês,0710301
04979687000100,04979687,0001,00,1,02,RJ,5833,4930203,Transporte rodoviário de produtos perigosos,"4930202,4930201"
93315000000161,93315000,0001,61,1,02,RS,8801,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",
93384311000182,93384311,0001,82,1,02,RS,8537,2211100,Fabricação de pneumáticos e de câmaras-de-ar,
03405415000133,03405415,0001,33,1,02,MG,4179,0710301,Extração de minério de ferro,0990401
05062988000137,05062988,0001,37,1,02,MT,9167,1013902,Preparação de subprodutos do abate,"1066000,3811400,3821100,3839499,4623102,4637103,4930201,4930202,4930203,5211701,5211799,5250803,5250804,7020400,7719599,7739099,8211300"
00158230000183,00158230,0001,83,1,02,SP,6239,2330301,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",
01829874000119,01829874,0001,19,1,02,RJ,6001,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal","4520001,4921302,5223100,7719599"
01834378000153,01834378,0001,53,1,02,DF,9701,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.","4930202,4930203"
01847902000120,01847902,0001,20,1,02,SP,6435,2061400,Fabricação de sabões e detergentes sintéticos,"2063100,3600601,8599604,4772500"
05215888000101,05215888,0001,01,1,02,PA,0411,3511501,Geração de energia elétrica,3512300
01909512000138,01909512,0001,38,1,02,CE,1373,0810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"2392300,0810006,2330305,0810002,2320600,4211101,0810004,4212000,4213800,4313400,4221901,4222702,4292801,4292802,4322301,4211102,4679699,4399199,4312600,4222701"
03585304000156,03585304,0001,56,1,02,DF,9701,4299599,Outras obras de engenharia civil não especificadas anteriormente,4399199
96225768000132,96225768,0001,32,1,02,SP,6639,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,"2840200,3321000,3314713"
03614931000178,03614931,0001,78,1,02,PE,2531,4530701,Comércio por atacado de peças e acessórios novos para veículos automotores,"2823200,2949299,3314707,4520007,4618499,4669999,7739099"
05370882000109,05370882,0001,09,1,02,SP,7005,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930203,5250804,4930201"
02019761000110,02019761,0001,10,1,02,PB,1965,4679699,Comércio atacadista de materiais de construção em geral,"4530702,4530705,4649499,4672900,4673700,4679601,4679604,4741500,4742300,4744001,4744002,4744003,4744005,4744006,4744099,4754702,4759899,4763604,4789007,4930202"
05388226000125,05388226,0001,25,1,02,CE,1549,5231102,Atividades do Operador Portuário,"4930201,5212500,5231101,7739099"
02035105000101,02035105,0001,01,1,02,ES,5699,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana","4211101,4211102,4313400,4921301,4922101,4923002,4924800,4929901,4929902,4929903,4929904,4930201,4930202,5229002,5250804,6462000,7711000,7719599,7732201,7739099,7820500"
03753733000195,03753733,0001,95,1,02,MG,5253,2093200,Fabricação de aditivos de uso industrial,"2029100,0210108,0210107,0210101,4671100,8292000"
05436332000137,05436332,0001,37,1,04,AM,0255,8211300,Serviços combinados de escritório e apoio administrativo,
02102394000114,02102394,0001,14,1,02,RJ,0786,0810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado","0990403,4744099,4930202,7732201,7739099"
05505390000175,05505390,0001,75,1,02,SP,7107,7210000,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,"6204000,7020400,7120100,8230001,8532500,8550302,9529105"
01593821001032,01593821,0010,32,2,02,MG,4601,2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,"2099199,4930203"
01657436000463,01657436,0004,63,2,02,GO,9373,4921301,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",
03886930000182,03886930,0001,82,1,02,MG,4371,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,5211701,5211799,6810201,6810202,7711000"
02174951000293,02174951,0002,93,2,02,GO,9541,0810004,Extração de calcário e dolomita e beneficiamento associado,"0990403,0899199"
05621860000328,05621860,0003,28,2,02,PB,1981,0810002,Extração de granito e beneficiamento associado,"0990403,4930201"
05597399000153,05597399,0001,53,1,02,SP,7107,7711000,Locação de automóveis sem condutor,
05603629000140,05603629,0001,40,1,02,CE,1389,4299599,Outras obras de engenharia civil não especificadas anteriormente,"3811400,4399199,7732201"
00632572000193,00632572,0001,93,1,02,MT,9067,2219600,Fabricação de artefatos de borracha não especificados anteriormente,"7719502,7719599,7711000,2869100"
05616550000153,05616550,0001,53,1,02,MG,5403,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal","4520001,4921301,4923002,4929902,4929904,4930201,4930202,7711000,7739099,7911200,7912100"
05634414000196,05634414,0001,96,1,02,PI,1180,2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",
03327988000358,03327988,0003,58,2,02,MS,9063,0710301,Extração de minério de ferro,"0990401,4689301,5231102"
02303346000194,02303346,0001,94,1,02,GO,9397,3312102,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle","2731700,2790299,3313901,3314799,3321000,4321500,4742300,7112000,8599604"
02315076000131,02315076,0001,31,1,02,MA,0763,4211101,Construção de rodovias e ferrovias,"4120400,4211102,4212000,4213800,4221901,4221902,4221903,4221905,4222701,4291000,4292801,4299501,4299599,4311801,4311802,4312600,4313400,4329104,4329199,4330404,4391600,4399101,4399105,4399199,5231101,5250804,7112000,7119701,7119702,7119799,7732201,7810800,7820500"
04335535000255,04335535,0002,55,2,02,AM,0255,5211799,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis","5022001,5022002,5212500,5231102,5239799,6810202"
04503660001380,04503660,0013,80,2,02,PA,0535,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","4930201,4930203,5011401,5021102,5030101,5030102,5091202,5231102,6462000"
05441551000457,05441551,0004,57,2,02,RS,1128,3511501,Geração de energia elétrica,3513100
