cnpj_basico,cnae_mais_frequente,cnae_descricao,n_estabelecimentos_encontrados,n_cnaes_distintos
11490163,4110700,Incorporação de empreendimentos imobiliários,21,1
21314559,7711000,Locação de automóveis sem condutor,368,2
40261035,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",37,1
07191228,4632001,Comércio atacadista de cereais e leguminosas beneficiados,107,10
07196033,1122401,Fabricação de refrigerantes,104,8
09082724,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2,1
03327988,0710301,Extração de minério de ferro,14,3
05866280,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",3,2
05651892,4672900,Comércio atacadista de ferragens e ferramentas,11,6
07436787,0810002,Extração de granito e beneficiamento associado,13,4
30511844,2341900,Fabricação de produtos cerâmicos refratários,17,5
31023302,0810002,Extração de granito e beneficiamento associado,34,12
14898558,4671100,Comércio atacadista de madeira e produtos derivados,4,1
00472805,4684299,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,49,13
23373000,7711000,Locação de automóveis sem condutor,46,1
08044340,0113000,Cultivo de cana-de-açúcar,56,1
03187435,0899199,Extração de outros minerais não-metálicos não especificados anteriormente,11,4
84010040,4731800,Comércio varejista de combustíveis para veículos automotores,74,4
18119493,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",6,1
10903047,4632003,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada",9,3
00000036,5222200,Terminais rodoviários e ferroviários,1,1
00067365,8650099,Atividades de profissionais da área de saúde não especificadas anteriormente,1,1
03585304,4299599,Outras obras de engenharia civil não especificadas anteriormente,19,2
00000067,9430800,Atividades de associações de defesa de direitos sociais,1,1
00487626,4120400,Construção de edifícios,4,3
03380763,4635499,Comércio atacadista de bebidas não especificadas anteriormente,20,5
05441551,3511501,Geração de energia elétrica,7,1
10407005,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",5,2
32285454,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",49,3
12931796,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",4,2
13829957,4684299,Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,22,5
15102924,1112700,Fabricação de vinho,3,2
15141799,0230600,Atividades de apoio à produção florestal,91,13
18891036,0210101,Cultivo de eucalipto,15,4
19166180,1032599,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",29,9
19350180,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",124,7
20448221,4922101,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",34,4
25634551,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",113,5
22768840,4211101,Construção de rodovias e ferrovias,7,2
27183425,4211101,Construção de rodovias e ferrovias,28,3
27515154,2031200,Fabricação de resinas termoplásticas,22,9
27999572,0210101,Cultivo de eucalipto,4,3
33498551,4921302,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",7,4
36346393,0810002,Extração de granito e beneficiamento associado,24,2
43338797,0893200,Extração de gemas (pedras preciosas e semipreciosas),9,4
43646975,4930203,Transporte rodoviário de produtos perigosos,4,3
