cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
21821738000190,21821738,0001,90
03463809000148,03463809,0001,48
06338525000118,06338525,0001,18
00959825000138,00959825,0001,38
01823580000856,01823580,0008,56
08490635000126,08490635,0001,26
10302599000686,10302599,0006,86
03113347000139,03113347,0001,39
05062988000137,05062988,0001,37
37457942000103,37457942,0001,03
35835010000202,35835010,0002,02
12027138000163,12027138,0001,63
03121422000103,03121422,0001,03
70430681000103,70430681,0001,03
11455829000103,11455829,0001,03
17950139000107,17950139,0001,07
08672803000102,08672803,0001,02
05705112000161,05705112,0001,61
03902129003018,03902129,0030,18
43241544000158,43241544,0001,58
02957104001277,02957104,0012,77
55334262000184,55334262,0001,84
03327988000439,03327988,0004,39
01576503000172,01576503,0001,72
14765286000100,14765286,0001,00
07131481000113,07131481,0001,13
11595217000108,11595217,0001,08
15933237000100,15933237,0001,00
83698860000259,83698860,0002,59
07113113000304,07113113,0003,04
15542095000142,15542095,0001,42
37730002000146,37730002,0001,46
03007590000172,03007590,0001,72
37878162000137,37878162,0001,37
00080671002668,00080671,0026,68
08251405000104,08251405,0001,04
05094194000155,05094194,0001,55
04501424000190,04501424,0001,90
23561503000131,23561503,0001,31
02077618000266,02077618,0002,66
09568680000119,09568680,0001,19
07707198000197,07707198,0001,97
08185469000154,08185469,0001,54
37398609000170,37398609,0001,70
75813923000323,75813923,0003,23
37020260000139,37020260,0001,39
09642280000106,09642280,0001,06
47741152000290,47741152,0002,90
02199663000102,02199663,0001,02
03380763001507,03380763,0015,07
09433294000110,09433294,0001,10
22872903000103,22872903,0001,03
08955086000118,08955086,0001,18
24852105000137,24852105,0001,37
05820858000116,05820858,0001,16
01923189000157,01923189,0001,57
01026921000196,01026921,0001,96
01082569000106,01082569,0001,06
01082569000297,01082569,0002,97
08204419000177,08204419,0001,77
02392459000103,02392459,0001,03
77649283000121,77649283,0001,21
02799488000194,02799488,0001,94
05001836000124,05001836,0001,24
01231646000142,01231646,0001,42
05291545000118,05291545,0001,18
11724547000156,11724547,0001,56
03342951000137,03342951,0001,37
02318341000135,02318341,0001,35
06069123000165,06069123,0001,65
24994943000145,24994943,0001,45
04152733000100,04152733,0001,00
01814174000150,01814174,0001,50
01814174000908,01814174,0009,08
42445403000194,42445403,0001,94
03991800000100,03991800,0001,00
00132781000178,00132781,0001,78
01002047000742,01002047,0007,42
53309845000200,53309845,0002,00
22192546000124,22192546,0001,24
22192546000639,22192546,0006,39
10912900000240,10912900,0002,40
30090575000880,30090575,0008,80
15104599000180,15104599,0001,80
20979938000102,20979938,0001,02
06048466000305,06048466,0003,05
06048466000577,06048466,0005,77
06048466000739,06048466,0007,39
26628201000121,26628201,0001,21
00181221000103,00181221,0001,03
00181221000294,00181221,0002,94
12422761000110,12422761,0001,10
09184119000136,09184119,0001,36
37363835000116,37363835,0001,16
01612795000151,01612795,0001,51
20556396000165,20556396,0001,65
00578443000164,00578443,0001,64
05810283000150,05810283,0001,50
06096335000131,06096335,0001,31
00057240000122,00057240,0001,22
00057240000980,00057240,0009,80
00057240001102,00057240,0011,02
00057240001528,00057240,0015,28
00057240004209,00057240,0042,09
00057240004462,00057240,0044,62
03585304000903,03585304,0009,03
03585304000822,03585304,0008,22
03585304001047,03585304,0010,47
03585304000407,03585304,0004,07
18011878000350,18011878,0003,50
18011878000600,18011878,0006,00
26469494000141,26469494,0001,41
